name, score
Lionel Baker  (West Indies),13
Paul-Jan Bakker  (Netherlands),1
Showkat Baksh  (Canada),0
Lakshmipathy Balaji  (India),120
Dorakanti Balaji Rao  (Canada),59
Andy Balbirnie  (Ireland),1698
Jacob Ball  (England),38
Gary Ballance  (England),297
C Bandara  (Sri Lanka),160
Chaminda Bandara  (Sri Lanka),1
M Bandarathilake  (Sri Lanka),0
Subroto Banerjee  (India),49
Sanjay Bangar  (India),180
Omari Banks  (West Indies),83
Eldine Baptiste  (West Indies),184
Adrian Barath  (West Indies),394
Graham Barlow  (England),149
Geoffrey Barnett  (Canada),455
Kim Barnett  (England),84
Wesley Barresi  (Netherlands),866
Oronde Bascombe  (Bermuda),65
Dwight Basden  (Bermuda),12
Basit Ali  (Pakistan),1265
Trevin Bastiampillai  (Canada),184
Michael Bates  (New Zealand),13
Gareth Batty  (England),30
Indika Batuwitarachchi  (United Arab Emirates),14
Dogodo Bau  (Papua New Guinea),170
Sese Bau  (Papua New Guinea),342
Carlton Baugh  (West Indies),482
Temba Bavuma  (South Africa),161
Bazid Khan  (Pakistan),131
Graeme Beard  (Australia),0
Ronsford Beaton  (West Indies),15
Atul Bedade  (India),158
Bishen Bedi  (India),31
Farhaan Behardien  (South Africa),1074
Jason Behrendorff  (Australia),7
Ian Bell  (England),5416
Matthew Bell  (New Zealand),133
Joseph Benjamin  (England),0
Kenneth Benjamin  (West Indies),65
Winston Benjamin  (West Indies),298
Dale Benkenstein  (South Africa),305
Sulieman Benn  (West Indies),182
Hamish Bennett  (New Zealand),10
Murray Bennett  (Australia),9
Mark Benson  (England),24
Andri Berenger  (United Arab Emirates),205
David Bernard  (West Indies),141
Richard Berrington  (Scotland),1630
Carlisle Best  (West Indies),473
Tino Best  (West Indies),76
Michael Bevan  (Australia),6912
Amit Bhandari  (India),0
Binod Bhandari  (Nepal),35
Lalit Bhandari  (Nepal),4
Vijay Bhardwaj  (India),136
Rustam Bhatti  (Canada),3
Umar Bhatti  (Canada),378
Rajesh Bhudia  (Kenya),122
Bhupinder Singh  (India),6
Andy Bichel  (Australia),471
Martin Bicknell  (England),96
Bilal Asif  (Pakistan),40
Bilal Khan  (Oman),0
Bilawal Bhatti  (Pakistan),89
Ian Billcliff  (Canada),532
Sam Billings  (England),271
Roger Binny  (India),629
Stuart Binny  (India),230
Karl Birkenstock  (Namibia),61
Devendra Bishoo  (West Indies),164
Glenn Bishop  (Australia),13
Ian Bishop  (West Indies),405
Marlon Black  (West Indies),4
Ian Blackwell  (England),403
Jermaine Blackwood  (West Indies),11
John Blain  (Scotland),284
Tony Blain  (New Zealand),442
Bruce Blair  (New Zealand),174
Donovan Blake  (United States),0
Glenn Blakeney  (Bermuda),72
Richard Blakey  (England),25
Greg Blewett  (Australia),551
Andy Blignaut  (Zimbabwe),626
Gulam Bodi  (South Africa),83
Nico Boje  (South Africa / ACA Africa XI),1414
Scott Boland  (Australia),9
Doug Bollinger  (Australia),50
Shane Bond  (New Zealand),292
Stephen Boock  (New Zealand),30
David Boon  (Australia),5964
Ravinda Bopara  (England),2695
Delyone Borden  (Bermuda),98
Allan Border  (Australia),6524
Peter Borren  (Netherlands),1004
Scott Borthwick  (England),18
Tertius Bosch  (South Africa),0
Gopal Bose  (India),13
Loots Bosman  (South Africa / ACA Africa XI),301
Hemantha Boteju  (Sri Lanka),3
Andre Botha  (Ireland),666
Johan Botha  (South Africa / ACA Africa XI),609
Sir Ian Botham  (England),2113
Mark Boucher  (South Africa / ACA Africa XI),4686
Trent Boult  (New Zealand),144
Keith Boyce  (West Indies),57
Geoff Boycott  (England),1082
Brendon Bracewell  (New Zealand),0
Douglas Bracewell  (New Zealand),158
John Bracewell  (New Zealand),512
Nathan Bracken  (Australia),198
Grant Bradburn  (New Zealand),60
Ian Bradshaw  (West Indies),287
David Brain  (Zimbabwe),117
Eddo Brandes  (Zimbabwe),404
Carlos Brathwaite  (West Indies),389
Kraigg Brathwaite  (West Indies),278
Dwayne Bravo  (West Indies),2968
Darren Bravo  (West Indies),2820
Jeremy Bray  (Ireland),401
Mike Brearley  (England),510
Gary Brent  (Zimbabwe),408
Timothy Bresnan  (England),871
