name, score
Hamid Hassan  (Afghanistan),92
Gavin Hamilton  (Scotland),1231
Lance Hamilton  (New Zealand),3
Hammad Azam  (Pakistan),80
Jeffrey Hammond  (Australia),15
John Hampshire  (England),48
Hamza Tariq  (Canada),116
Peter Handscomb  (Australia),628
Hannan Sarkar  (Bangladesh),383
Jimmy Hansra  (Canada),421
Rana Haq  (Scotland),566
Harbhajan Singh  (India / ACC Asian XI),1237
Harilal Shah  (East Africa),6
Haris Sohail  (Pakistan),1320
Stephen Harmison  (England),91
Haroon Rashid  (Pakistan),166
Roger Harper  (West Indies),855
Chris Harris  (New Zealand),4379
Joseph Harris  (Canada),91
Paul Harris  (South Africa),0
Ryan Harris  (Australia),48
Matthew Hart  (New Zealand),61
Robert Hart  (New Zealand),0
Ronald Hart  (New Zealand),3
Blair Hartland  (New Zealand),311
Harun-Ur-Rashid  (Bangladesh),0
Ian Harvey  (Australia),715
Harvinder Singh  (India),6
Shane Harwood  (Australia),0
Hasan Ali  (Pakistan),237
Hasan Jamil  (Pakistan),111
Hasan Raza  (Pakistan),242
Haseeb Amjad  (Hong Kong),112
Hashmatullah Shahidi  (Afghanistan),865
Hasibul Hussain  (Bangladesh),172
Mark Haslam  (New Zealand),9
Hasti Gul  (Afghanistan),23
Brian Hastings  (New Zealand),151
John Hastings  (Australia),271
Chandika Hathurusingha  (Sri Lanka),669
Nathan Hauritz  (Australia),336
Matthew Hayden  (Australia / ICC World XI),6133
Frank Hayes  (England),128
Roydon Hayes  (New Zealand),13
Desmond Haynes  (West Indies),8648
Robert Haynes  (West Indies),26
Nantie Hayward  (South Africa),12
Josh Hazlewood  (Australia),37
Hazratullah Zazai  (Afghanistan),183
Travis Head  (Australia),1273
Dean Headley  (England),22
Ronald Headley  (West Indies),19
Ian Healy  (Australia),1764
Stewart Heaney  (Canada),41
Sam Heazlett  (Australia),4
Thomas Heggelman  (Netherlands),27
Edward Hemmings  (England),30
David Hemp  (Bermuda),641
Chandrapaul Hemraj  (West Indies),82
Claude Henderson  (South Africa),0
Michael Hendrick  (England),6
Beuran Hendricks  (South Africa),2
Reeza Hendricks  (South Africa),455
Moises Henriques  (Australia),81
Cornelius Henry  (Canada),6
Matthew Henry  (New Zealand),193
Omar Henry  (South Africa),20
Rangana Herath  (Sri Lanka),140
Jack Heron  (Zimbabwe),50
Shimron Hetmeyer  (West Indies),899
Peter Heyn  (Sri Lanka),3
Graeme Hick  (England),3846
Ryan Higgins  (Zimbabwe),15
Andrew Hilditch  (Australia),226
Ben Hilfenhaus  (Australia),29
Ryan Hinds  (West Indies),101
Wavell Hinds  (West Indies),2880
Hiri Hiri  (Papua New Guinea),26
Narendra Hirwani  (India),8
Paul Hitchcock  (New Zealand),41
Bradley Hodge  (Australia),575
Kyle Hodsoll  (Bermuda),2
Paul Hoffmann  (Scotland),85
Thomas Hogan  (Australia),72
Brad Hogg  (Australia),790
Rodney Hogg  (Australia),137
Vincent Hogg  (Zimbabwe),7
Matthew Hoggard  (England),17
Jason Holder  (West Indies),1574
Roland Holder  (West Indies),599
Vanburn Holder  (West Indies),64
Michael Holding  (West Indies),282
Robert Holland  (Australia),0
Adam Hollioake  (England),606
Ben Hollioake  (England),309
Delano Hollis  (Bermuda),15
Douglas Hondo  (Zimbabwe),127
David Hookes  (Australia),826
Calvert Hooper  (Canada),49
Carl Hooper  (West Indies),5761
Kyle Hope  (West Indies),138
Shai Hope  (West Indies),2247
James Hopes  (Australia),1326
Gareth Hopkins  (New Zealand),236
Matthew Horne  (New Zealand),980
Philip Horne  (New Zealand),50
David Houghton  (Zimbabwe),1530
Jamie How  (New Zealand),1046
Geoff Howarth  (New Zealand),1384
Hedley Howarth  (New Zealand),18
Llorne Howell  (New Zealand),287
Adam Huckle  (Zimbabwe),9
Andrew Hudson  (South Africa),2559
Kim Hughes  (Australia),1968
Merv Hughes  (Australia),100
Phillip Hughes  (Australia),826
Humayun Farhat  (Pakistan),60
Geoffrey Humpage  (England),11
Kevin Hurdle  (Bermuda),85
Ryan Hurley  (West Indies),13
Alan Hurst  (Australia),7
Nasser Hussain  (England),2332
Omer Hussain  (Scotland),63
Hussain Talat  (Pakistan),2
David Hussey  (Australia),1796
Michael Hussey  (Australia),5442
Danza Hyatt  (West Indies),112
Nicholas Ifill  (Canada),16
Iftikhar Ahmed  (Pakistan),8
Iftikhar Anjum  (Pakistan),234
Alan Igglesden  (England),20
Ihsanullah  (Afghanistan),307
Ijaz Ahmed  (Pakistan),6564
Ijaz Ahmed  (Pakistan),3
Ijaz Faqih  (Pakistan),197
Ikram Ali Khil  (Afghanistan),6
Ray Illingworth  (England),5
Richard Illingworth  (England),68
Ilyas Gul  (Hong Kong),17
Imad Wasim  (Pakistan),778
Imam-ul-Haq  (Pakistan),1387
Imran Abbas  (Pakistan),29
Imran Farhat  (Pakistan),1719
Imran Haider  (United Arab Emirates),58
Imran Khan  (Pakistan),3709
Imran Nazir  (Pakistan),1895
Imran Tahir  (South Africa),146
Imrul Kayes  (Bangladesh),2434
Imtiaz Abbasi  (United Arab Emirates),12
Colin Ingram  (South Africa),843
Peter Ingram  (New Zealand),193
Intikhab Alam  (Pakistan),17
Inzamam-ul-Haq  (Pakistan / ACC Asian XI),11739
Moneeb Iqbal  (Scotland),192
Tariq Iqbal  (Kenya),17
Iqbal Qasim  (Pakistan),39
Iqbal Sikander  (Pakistan),1
Ronald Irani  (England),360
Anthony Ireland  (Zimbabwe),30
Irfan Ahmed  (Hong Kong),99
Irfan Bhatti  (Pakistan),0
Irfan Fazil  (Pakistan),15
Irfan Sajid  (United Arab Emirates),2
Ishtiaq Muhammad  (Hong Kong),0
Shreyas Iyer  (India),210
Izatullah Dawlatzai  (Afghanistan),7
Steven Jack  (South Africa),7
Robin Jackman  (England),54
Ridley Jacobs  (West Indies),1865
Ajay Jadeja  (India),5359
Ravindra Jadeja  (India),2035
Kedar Jadhav  (India),1174
Wasim Jaffer  (India),10
Jahangir Alam  (Bangladesh),4
Jahangir Shah  (Bangladesh),16
Jahurul Islam  (Bangladesh),270
Jalaluddin  (Pakistan),5
Jamaluddin Ahmed  (Bangladesh),18
Wayne James  (Zimbabwe),101
John Jameson  (England),60
Floris Jansen  (Netherlands),0
Philip Jaques  (Australia),125
Kyle Jarvis  (Zimbabwe),158
Malcolm Jarvis  (Zimbabwe),37
Paul Jarvis  (England),31
Jessy Singh  (United States),0
Jatinder Singh  (Oman),0
Javed Ahmadi  (Afghanistan),971
Javed Miandad  (Pakistan),7381
Javed Omar  (Bangladesh),1312
Javed Qadeer  (Pakistan),12
Jawahir Shah  (East Africa),46
W Jayantha  (Sri Lanka),400
Pradeep Jayaprakashdaran  (Sri Lanka),0
Rohan Jayasekera  (Sri Lanka),17
Sunil Jayasinghe  (Sri Lanka),1
Shehan Jayasuriya  (Sri Lanka),83
Prabath Jayasuriya  (Sri Lanka),11
Sanath Jayasuriya  (Sri Lanka / ACC Asian XI),13430
Mahela Jayawardene  (Sri Lanka / ACC Asian XI),12650
Prasanna Jayawardene  (Sri Lanka),27
Sridharan Jeganathan  (Sri Lanka),25
Terrence Jenner  (Australia),12
Kerry Jeremy  (West Indies),17
Trevor Jesty  (England),127
Karun Jethi  (Canada),87
Joginder Sharma  (India),35
Vinothen John  (Sri Lanka),84
Howard Johnson  (United States),9
Leon Johnson  (West Indies),98
Mitchell Johnson  (Australia),951
Mark Johnson  (United States),20
Neil Johnson  (Zimbabwe),1679
Richard Johnson  (England),16
Trent Johnston  (Ireland),743
Aaron Jones  (United States),2
Andrew Jones  (New Zealand),2784
Dean Jones  (Australia),6068
Geraint Jones  (England / England),862
Michael Jones  (Scotland),194
Malachi Jones  (Bermuda),113
Nigel Jones  (Ireland),74
Richard Jones  (New Zealand),168
Simon Jones  (England),1
Luke Jongwe  (Zimbabwe),236
Christiaan Jonker  (South Africa),31
Mark Jonkman  (Netherlands),43
Maurits Jonkman  (Netherlands),36
Sundeep Jora  (Nepal),19
Chris Jordan  (England),169
Alzarri Joseph  (West Indies),104
Davis Joseph  (Canada),13
Sylvester Joseph  (West Indies),161
Sunil Joshi  (India),584
Dominick Joyce  (Ireland),29
Ed Joyce  (Ireland / England),2622
Jubair Hossain  (Bangladesh),5
Brendon Julian  (Australia),224
Bernard Julien  (West Indies),86
Junaid Khan  (Pakistan),68
Junaid Siddique  (Bangladesh),1196
Junaid Siddiqui  (Canada),67
Junaid Zia  (Pakistan),2
Sandeep Jyoti  (Canada),264
Kabir Ali  (England),93
Kabir Khan  (Pakistan),10
Roy Kaia  (Zimbabwe),0
Mohammad Kaif  (India),2753
Abhijit Kale  (India),10
Kaleemullah  (Oman),0
Alvin Kallicharran  (West Indies),826
Jacques Kallis  (South Africa / ACA Africa XI / ICC World XI),11579
Ruwan Kalpage  (Sri Lanka),844
Lalith Kaluperuma  (Sri Lanka),33
Sanath Kaluperuma  (Sri Lanka),11
Romesh Kaluwitharana  (Sri Lanka),3711
James Kamande  (Kenya),1055
Vinod Kambli  (India),2477
Kamran Akmal  (Pakistan),3236
Kamran Hussain  (Pakistan),28
Kamran Shahzad  (United Arab Emirates),22
Tafadzwa Kamungozi  (Zimbabwe),27
Tinashe Kamunhukamwe  (Zimbabwe),37
Kenneth Kamyuka  (Canada),2
Thilina Kandamby  (Sri Lanka),870
Arvindah Kandappah  (Canada),97
Danish Kaneria  (Pakistan),12
Rohan Kanhai  (West Indies),164
Hrishikesh Kanitkar  (India),339
Kapil Dev  (India),3783
Aashish Kapoor  (India),43
Chamara Kapugedera  (Sri Lanka),1624
Karan KC  (Nepal),21
Morne Karg  (Namibia),45
Aasif Karim  (Kenya),228
Irfan Karim  (Kenya),396
Saba Karim  (India),362
Karim Janat  (Afghanistan),9
Karim Sadiq  (Afghanistan),475
Shaul Karnain  (Sri Lanka),229
Dinesh Karthik  (India),1738
Murali Kartik  (India),126
Dimuth Karunaratne  (Sri Lanka),267
Kashif Raza  (Pakistan),2
Michael Kasprowicz  (Australia),74
Friday Kasteni  (Zimbabwe),18
Eion Katchay  (Canada),23
Simon Katich  (Australia),1324
Siddarth Kaul  (India),1
Tharindu Kaushal  (Sri Lanka),0
Stefan Kelly  (Bermuda),14
Justin Kemp  (South Africa / ACA Africa XI),1512
Robert Kennedy  (New Zealand),17
John Kent  (South Africa),0
Martin Kent  (Australia),78
Robert Kerr  (Australia),97
Alexei Kervezee  (Netherlands),924
Shaheed Keshvani  (Canada),21
Daniel Keulder  (Namibia),132
Robert Key  (England),54
Paras Khadka  (Nepal),235
Subash Khakurel  (Nepal),69
Khaled Mahmud  (Bangladesh),991
Khaled Mashud  (Bangladesh),1818
Khalid Khan  (Hong Kong),5
Khalid Latif  (Pakistan),147
Khaliq Dad  (Afghanistan),40
Zaheer Khan  (India / ACC Asian XI),792
Surinder Khanna  (India),176
Usman Khawaja  (Australia),1238
Khawar Ali  (Oman),3
Gagan Khoda  (India),115
Amay Khurasiya  (India),149
Khurram Chohan  (Canada),165
Khurram Khan  (United Arab Emirates),582
Khurram Manzoor  (Pakistan),236
Khurram Nawaz  (Oman),17
Gary Kidd  (Ireland),15
Craig Kieswetter  (England),1054
Jason Kila  (Papua New Guinea),34
Collis King  (West Indies),280
Reon King  (West Indies),65
Vivian Kingma  (Netherlands),0
Syed Kirmani  (India),373
Gary Kirsten  (South Africa),6798
Peter Kirsten  (South Africa),1293
Robert Kirtley  (England),2
Heinrich Klaasen  (South Africa),251
Fred Klaassen  (Netherlands),24
Rory Kleinveldt  (South Africa),105
Jan Kloppenburg  (Netherlands),165
Lance Klusener  (South Africa),3576
Nicholas Knight  (England),3637
Alan Knott  (England),200
Louis Koen  (South Africa),82
Virat Kohli  (India),10843
Bjorn Kotze  (Namibia),27
Deon Kotze  (Namibia),82
J P Kotze  (Namibia),23
Jason Krejza  (Australia),13
Krishna Chandran  (United Arab Emirates),134
Pallemoni Krishnamurthy  (India),6
Bradley Kruger  (Netherlands),32
Courtney Kruger  (Hong Kong),3
Garnett Kruger  (South Africa),0
Neil Kruger  (Netherlands),39
Christopher Kuggeleijn  (New Zealand),142
Scott Kuggeleijn  (New Zealand),11
Adrian Kuiper  (South Africa),539
Kosala Kulasekara  (Sri Lanka),38
Nuwan Kulasekara  (Sri Lanka),1327
Kuldeep Yadav  (India),100
Dhawal Kulkarni  (India),27
Nilesh Kulkarni  (India),11
Rajiv Kulkarni  (India),33
Bhuvneshwar Kumar  (India),523
Nitish Kumar  (Canada),217
Praveen Kumar  (India),292
Lahiru Kumara  (Sri Lanka),16
Thirunavukkar Kumaran  (India),19
Anil Kumble  (India / ACC Asian XI),938
Brendon Kuruppu  (Sri Lanka),1022
Abey Kuruvilla  (India),26
Kwame Tucker  (Bermuda),95
Graeme Labrooy  (Sri Lanka),249
Bruce Laird  (Australia),594
Suranga Lakmal  (Sri Lanka),217
Chamila Lakshitha  (Sri Lanka),7
S Lama  (Hong Kong),16
Allan Lamb  (England),4010
Gregory Lamb  (Zimbabwe),197
Raman Lamba  (India),783
Clayton Lambert  (United States / West Indies),407
Sandeep Lamichhane  (Nepal),40
John Lamsam  (Hong Kong),24
Justin Langer  (Australia),160
Charl Langeveldt  (South Africa),73
Dave Langford-Smith  (Ireland),142
Brian Lara  (West Indies / ICC World XI),10405
Wayne Larkins  (England),591
Gavin Larsen  (New Zealand),629
Rodney Latham  (New Zealand),583
Tom Latham  (New Zealand),2395
Ben Laughlin  (Australia),1
Trevor Laughlin  (Australia),105
Stuart Law  (Australia),1237
David Lawrence  (England),0
Bill Lawry  (Australia),27
Geoff Lawson  (Australia),378
Jermaine Lawson  (West Indies),18
V V S Laxman  (India),2338
Michael Leask  (Scotland),443
Brett Lee  (Australia),1176
Shane Lee  (Australia),477
Warren Lees  (New Zealand),215
Roland Lefebvre  (Netherlands),171
Darren Lehmann  (Australia),3078
John Lever  (England),56
Peter Lever  (England),17
Dwayne Leverock  (Bermuda),112
Chris Lewis  (England),374
Evin Lewis  (West Indies),1010
Johnathan Lewis  (England),50
Michael Lewis  (Australia),4
Rawl Lewis  (West Indies),291
Liaqat Ali  (Pakistan),7
Gerhardus Liebenberg  (South Africa),94
Dennis Lillee  (Australia),240
Liton Das  (Bangladesh),584
Josh Little  (Ireland),9
Dulip Liyanage  (Sri Lanka),144
Clive Lloyd  (West Indies),1977
David Lloyd  (England),285
Graham Lloyd  (England),39
Timothy Lloyd  (England),101
Alan Lock  (Zimbabwe),8
Douglas Lockhart  (Scotland),218
Gus Logie  (West Indies),2809
Kaushal Lokuarachchi  (Sri Lanka),210
Christopher Lonsdale  (Bermuda),4
Bernard Loots  (Netherlands),16
Alexander Loudon  (England),0
Johann Louw  (South Africa),23
Jan Louw  (Namibia),0
James Love  (England),61
Malachy Loye  (England),142
Steven Lubbers  (Netherlands),24
Brian Luckhurst  (England),15
Michael Lumb  (England),165
Alfred Luseno  (Kenya),34
Monte Lynch  (England),8
Chris Lynn  (Australia),75
Nathan Lyon  (Australia),69
Ross Lyons  (Scotland),90
Stuart MacGill  (Australia),1
Matthew Machan  (Scotland),734
Angus Mackay  (Zimbabwe),0
John Maclean  (Australia),11
Kenneth MacLeay  (Australia),139
Calum Macleod  (Scotland),1954
Neil MacRae  (Scotland),10
Sharma Madan Lal  (India),401
Darren Maddy  (England),113
Trevor Madondo  (Zimbabwe),191
Ranjan Madugalle  (Sri Lanka),950
Ranjith Madurasinghe  (Sri Lanka),21
Shehan Madushanka  (Sri Lanka),7
Lahiru Madushanka  (Sri Lanka),14
Neville Madziva  (Zimbabwe),67
Mafizur Rahman  (Bangladesh),53
John Maguire  (Australia),42
Roshan Mahanama  (Sri Lanka),5162
Keshav Maharaj  (South Africa),25
Farveez Maharoof  (Sri Lanka),1113
Mahbubul Alam  (Bangladesh),81
Mahbubur Rahman  (Bangladesh),3
James Maher  (Australia),438
Sajid Mahmood  (England),85
Mahmood Hamid  (Pakistan),1
Mahmudullah  (Bangladesh),3757
Blessing Mahwire  (Zimbabwe),117
Gregor Maiden  (Scotland),84
Majid Khan  (Pakistan),786
Dawid Malan  (England),24
Devon Malcolm  (England),9
Ashok Malhotra  (India),457
Jaskaran Malhotra  (United States),0
Lasith Malinga  (Sri Lanka),550
Gyanendra Malla  (Nepal),143
Ashley Mallett  (Australia),14
Michael Malone  (Australia),36
Maninder Singh  (India),49
Sanjay Manjrekar  (India),1994
Manjural Islam  (Bangladesh),53
Manjural Islam Rana  (Bangladesh),331
Ashok Mankad  (India),44
Graham Manou  (Australia),7
Mansoor Akhtar  (Pakistan),593
Mansoor Amjad  (Pakistan),5
Mansoor Rana  (Pakistan),15
Manzoor Akhtar  (Pakistan),97
Manzoor Elahi  (Pakistan),741
Maqsood Rana  (Pakistan),5
Ishwar Maraj  (Canada),98
Alester Maregwede  (Zimbabwe),124
Douglas Marillier  (Zimbabwe),672
Aiden Markram  (South Africa),503
Victor Marks  (England),285
Geoff Marsh  (Australia),4357
Mitchell Marsh  (Australia),1428
Rod Marsh  (Australia),1225
Shaun Marsh  (Australia),2747
Cecil Marshall  (Canada),10
Hamish Marshall  (New Zealand),1454
James Marshall  (New Zealand),250
Malcolm Marshall  (West Indies),955
Xavier Marshall  (United States / West Indies),386
Anthony Martin  (West Indies),10
Chris Martin  (New Zealand),8
Gary Martin  (Zimbabwe),31
Jacob Martin  (India),158
Peter Martin  (England),38
Damien Martyn  (Australia),5346
Timycen Maruma  (Zimbabwe),196
Hamilton Masakadza  (Zimbabwe),5604
Shingirai Masakadza  (Zimbabwe),170
Wellington Masakadza  (Zimbabwe),53
Dimitri Mascarenhas  (England),245
Mashrafe Mortaza  (Bangladesh / ACC Asian XI),1752
Michael Mason  (New Zealand),24
Masood Iqbal  (Pakistan),2
Steve Massiah  (United States),23
Robert Massie  (Australia),16
Prince Masvaure  (Zimbabwe),40
Everton Matambanadzo  (Zimbabwe),8
Angelo Mathews  (Sri Lanka),5381
Andrew Mathieson  (New Zealand),0
Stuart Matsikenyeri  (Zimbabwe),2224
Craig Matthews  (South Africa),141
Greg Matthews  (Australia),619
Everton Mattis  (West Indies),86
Bryan Mauricette  (Canada),20
Brandon Mavuta  (Zimbabwe),52
Tinotenda Mawoyo  (Zimbabwe),58
Donovan Maxwell  (Canada),166
Glenn Maxwell  (Australia),2700
Tim May  (Australia),39
Matthew Maynard  (England),156
Mazhar Hussain  (United Arab Emirates),179
Mazharul Haque  (Bangladesh),3
Mpumelelo Mbangwa  (Zimbabwe),34
Cameron McAuslan  (Hong Kong),35
Andy McBrine  (Ireland),255
William McCallan  (Ireland),361
Neil McCallum  (Scotland),1002
Rory McCann  (Ireland),44
Graeme McCarter  (Ireland),1
Barry McCarthy  (Ireland),110
Mitchell McClenaghan  (New Zealand),108
James McCollum  (Ireland),17
Richard McCosker  (Australia),320
Obed McCoy  (West Indies),0
Brendon McCullum  (New Zealand),6083
Nathan McCullum  (New Zealand),1070
Rodney McCurdy  (Australia),33
Craig McDermott  (Australia),432
Paul McEwan  (New Zealand),204
Neil McGarrell  (West Indies),60
Peter McGlashan  (New Zealand),63
Anthony McGrath  (England),166
Glenn McGrath  (Australia / ICC World XI),115
Andrew McKay  (New Zealand),12
Clinton McKay  (Australia),190
Brian McKechnie  (New Zealand),54
Scott McKechnie  (Hong Kong),108
Graham McKenzie  (Australia),0
Neil McKenzie  (South Africa),1688
Ryan McLaren  (South Africa),485
Nixon McLean  (West Indies),314
Hamish McLeod  (East Africa),5
Brian McMillan  (South Africa),841
Craig McMillan  (New Zealand),4707
Ervin McSweeney  (New Zealand),73
Stuart Meaker  (England),2
Mehidy Hasan  (Bangladesh),291
Mehmood Quaraishy  (East Africa),41
Vijay Mehra  (United Arab Emirates),92
Mehrab Hossain  (Bangladesh),449
Mehrab Hossain  (Bangladesh),276
Praful Mehta  (East Africa),12
Babu Meman  (Zimbabwe),19
Ajantha Mendis  (Sri Lanka),188
Kusal Mendis  (Sri Lanka),1692
Jeevan Mendis  (Sri Lanka),617
Duleep Mendis  (Sri Lanka),1527
Chaminda Mendis  (Sri Lanka),3
Kamindu Mendis  (Sri Lanka),17
Joe Mennie  (Australia),1
Keegan Meth  (Zimbabwe),106
Paras Mhambrey  (India),7
David Miller  (South Africa),2922
Geoff Miller  (England),136
Nikita Miller  (West Indies),284
Jonathan Millmow  (New Zealand),0
Kyle Mills  (New Zealand),1047
Adam Milne  (New Zealand),168
Minhajul Abedin  (Bangladesh),453
Dean Minors  (Bermuda),478
Solomon Mire  (Zimbabwe),905
Mirwais Ashraf  (Afghanistan),387
Misbah-ul-Haq  (Pakistan),5122
Amit Mishra  (India),43
Tanmay Mishra  (Kenya),1128
Abhimanyu Mithun  (India),51
Hitesh Modi  (Kenya),1109
Mohammad Abbas  (Pakistan),0
Mohammad Akram  (Pakistan),14
Mohammad Amir  (Pakistan),352
Mohammad Ashraful  (Bangladesh / ACC Asian XI),3468
Mohammad Asif  (Pakistan / ACC Asian XI),34
Mohammad Aslam  (United Arab Emirates),38
Mohammad Boota  (United Arab Emirates),191
Mohammad Hafeez  (Pakistan),6361
Mohammad Hasnain  (Pakistan),28
Mohammad Hussain  (Pakistan),154
Mohammad Iqbal  (Canada),54
Mohammad Irfan  (Pakistan),48
Mohammad Ishaq  (United Arab Emirates),98
Mohammad Kashif  (Netherlands),1
Mohammad Khalil  (Pakistan),0
Mohammad Mithun  (Bangladesh),420
Mohammad Nabi  (Afghanistan),2592
Mohammad Nadeem  (Oman),5
Mohammad Naveed  (United Arab Emirates),397
Mohammad Nawaz  (Pakistan),199
Mohammad Rafique  (Bangladesh / ACC Asian XI),1191
Mohammad Rizwan  (Pakistan),705
Mohammad Saifuddin  (Bangladesh),175
Mohammad Salim  (Bangladesh),9
Mohammad Salman  (Pakistan),22
Mohammad Sami  (Pakistan),314
Mohammad Shahzad  (Afghanistan),2720
Mohammad Shahzad  (United Arab Emirates),190
Mohammad Talha  (Pakistan),0
Mohammad Tauqir  (United Arab Emirates),95
Mohammad Wasim  (Pakistan),543
Mohammad Yousuf  (Pakistan / ACC Asian XI),9720
Mohammad Zahid  (Pakistan),15
Dave Mohammed  (West Indies),0
Jason Mohammed  (West Indies),551
Mohammed Nazir  (Pakistan),4
Mohammed Qasim  (United Arab Emirates),94
Mohammed Shami  (India),131
Mohammed Sharif  (Bangladesh),53
Mohammed Siraj  (India),0
Debashish Mohanty  (India),28
Mohibullah Paak  (Afghanistan),0
Mohsin Kamal  (Pakistan),27
Mohsin Khan  (Pakistan),1877
Moin Khan  (Pakistan),3266
Moin-Ul-Atiq  (Pakistan),199
Geert-Maarten Mol  (Netherlands),25
Hendrik Mol  (Netherlands),67
Mominul Haque  (Bangladesh),557
Preston Mommsen  (Scotland),1115
Dinesh Mongia  (India),1230
Nayan Mongia  (India),1272
Moniruzzaman  (Bangladesh),1
Tom Moody  (Australia),1211
John Mooney  (Ireland),963
Paul Mooney  (Ireland),12
Peter Moor  (Zimbabwe),801
Kiran More  (India),563
Vani Morea  (Papua New Guinea),313
Daniel Morgan  (Bermuda),2
Eoin Morgan  (England / Ireland),6977
Albie Morkel  (South Africa / ACA Africa XI),782
Morne Morkel  (South Africa / ACA Africa XI),268
Chris Morris  (South Africa),393
John Morris  (England),167
Danny Morrison  (New Zealand),171
John Morrison  (New Zealand),252
Morshed Ali Khan  (Bangladesh),2
Runako Morton  (West Indies),1519
Mosaddeck Hossain  (Bangladesh),407
Ezra Moseley  (West Indies),7
Mosharraf Hossain  (Bangladesh),26
Jeffrey Moss  (Australia),7
Martyn Moxon  (England),174
Phenyo Mpitsang  (South Africa),1
Chris Mpofu  (Zimbabwe),46
Natsai Mushangwe  (Zimbabwe),38
Jehan Mubarak  (Sri Lanka),704
Mudassar Bukhari  (Netherlands),515
Mudassar Nazar  (Pakistan),2653
Tafadzwa Mufambisi  (Zimbabwe),55
Muhammad Usman  (United Arab Emirates),618
Mujahid Jamshed  (Pakistan),27
Mujeeb Ur Rahman  (Afghanistan),41
Saradindu Mukherjee  (India),2
Saleem Mukuddem  (Bermuda),331
Jacob Mulder  (Ireland),15
Willem Mulder  (South Africa),74
Ashif Mulla  (Canada),482
Mohsin Mulla  (Canada),1
Alan Mullally  (England),86
Carl Mumba  (Zimbabwe),3
Arachchige Munasinghe  (Sri Lanka),13
Dilshan Munaweera  (Sri Lanka),15
Munir Dar  (Hong Kong),18
Colin Munro  (New Zealand),1146
George Munsey  (Scotland),470
Tawanda Mupariwa  (Zimbabwe),185
Muttiah Muralitharan  (Sri Lanka / ACC Asian XI / ICC World XI),674
Bryan Murgatroyd  (Namibia),90
Brian Murphy  (Zimbabwe),72
David Murphy  (Scotland),58
David Murray  (West Indies),45
Darrin Murray  (New Zealand),3
Deryck Murray  (West Indies),295
Junior Murray  (West Indies),678
Ryan Murray  (Zimbabwe),108
Tim Murtagh  (Ireland),186
Tarisai Musakanda  (Zimbabwe),304
Mushfiqur Rahim  (Bangladesh),5558
Mushfiqur Rahman  (Bangladesh),360
Mushtaq Ahmed  (Pakistan),399
Mushtaq Mohammad  (Pakistan),209
Mustafizur Rahman  (Bangladesh),57
Philip Mustard  (England),233
David Mutendera  (Zimbabwe),20
Forster Mutizwa  (Zimbabwe),403
Tinotenda Mutombodzi  (Zimbabwe),112
Richmond Mutumbami  (Zimbabwe),552
Blessing Muzarabani  (Zimbabwe),16
Taurai Muzarabani  (Zimbabwe),12
Waddington Mwayenga  (Zimbabwe),1
Stephan Myburgh  (Netherlands),294
Ganesh Mylvaganam  (United Arab Emirates),36
Nadeem Ahmed  (Hong Kong),67
Nadeem Ghauri  (Pakistan),14
Nadeem Khan  (Pakistan),2
Naeem Ahmed  (Pakistan),0
Naeem Ashraf  (Pakistan),24
Naeem Islam  (Bangladesh),975
Naeemuddin Aslam  (United Arab Emirates),12
Nafis Iqbal  (Bangladesh),309
Mahendra Nagamootoo  (West Indies),162
John Nagenda  (East Africa),0
Sudhir Naik  (India),38
Naimuir Rahman  (Bangladesh),488
Karun Nair  (India),46
Najaf Shah  (Pakistan),0
Najeeb Amar  (Hong Kong),38
Najeeb Tarakai  (Afghanistan),5
Najibullah Zadran  (Afghanistan),1270
Parbhu Nana  (East Africa),9
Dirk Nannes  (Australia),1
Alei Nao  (Papua New Guinea),85
Sunil Narine  (West Indies),363
Naseer Malik  (Pakistan),0
Brendan Nash  (West Indies),104
Dion Nash  (New Zealand),624
Nasim-Ul-Ghani  (Pakistan),1
Nasir Ahmed  (Bangladesh),25
Nasir Aziz  (United Arab Emirates),82
Nasir Hameed  (Hong Kong),0
Nasir Hossain  (Bangladesh),1281
Nasir Jamal  (Afghanistan),352
Nasir Jamshed  (Pakistan),1418
Nasir Javed  (United States),2
Naumanullah  (Pakistan),5
Naved Anjum  (Pakistan),113
Naved Latif  (Pakistan),262
Naved-ul-Hasan  (Pakistan),524
Naveen -ul-Haq  (Afghanistan),0
Naveed Nawaz  (Sri Lanka),31
Nawroz Mangal  (Afghanistan),1139
Surendra Nayak  (India),3
Dharshana Gamage  (Sri Lanka),3
Abhishek Nayar  (India),0
Nazimuddin  (Bangladesh),147
Nazmul Hossain  (Bangladesh),35
Nazmul Hossain Shanto  (Bangladesh),20
Nazmul Islam  (Bangladesh),7
Njabulo Ncube  (Zimbabwe),0
James Neesham  (New Zealand),1015
Neeyamur Rashid  (Bangladesh),5
Ashish Nehra  (India),141
Andre Nel  (South Africa),127
Dewal Nel  (Scotland),31
Michael Neser  (Australia),8
Tarun Nethula  (New Zealand),12
Saurabh Netravalkar  (United States),11
Christopher Nevin  (New Zealand),732
Richard Ngarava  (Zimbabwe),14
Lungisani Ngidi  (South Africa),40
James Ngoche  (Kenya),35
Shem Ngoche  (Kenya),68
Henry Nicholls  (New Zealand),1029
Robert Nicol  (New Zealand),586
Ian Nicolson  (Zimbabwe),14
